property_id,prediccion
107785496,reformado
107243462,no_reformado
107243462,no_reformado
105960481,no_reformado
105960481,no_reformado
107248321,no_reformado
107248321,no_reformado
107652976,reformado
107615844,no_reformado
107615844,no_reformado
107240745,no_reformado
107240745,no_reformado
107433792,reformado
107551865,reformado
107551865,reformado
107528508,reformado
107528508,reformado
101519606,no_reformado
101519606,no_reformado
105965544,no_reformado
105965544,no_reformado
30993961,no_reformado
83636898,no_reformado
83636898,no_reformado
107743049,reformado
107273778,reformado
107273778,reformado
107623101,no_reformado
107623101,no_reformado
89430793,no_reformado
89430793,no_reformado
106016466,reformado
106016466,reformado
107487197,no_reformado
107487197,no_reformado
107821219,no_reformado
107821219,no_reformado
107850783,no_reformado
107850783,no_reformado
33608321,no_reformado
33608321,no_reformado
107857661,no_reformado
107857661,no_reformado
107261489,no_reformado
107261489,no_reformado
107866063,no_reformado
107866063,no_reformado
107761343,no_reformado
107761343,no_reformado
107864114,no_reformado
107864114,no_reformado
107800892,reformado
107800892,reformado
106255866,no_reformado
107638326,reformado
107638326,reformado
107850871,no_reformado
107850871,no_reformado
106557348,no_reformado
106557348,no_reformado
101240310,no_reformado
101240310,no_reformado
107788201,no_reformado
107788201,no_reformado
107488718,reformado
107488718,reformado
104161500,reformado
104161500,reformado
107259098,reformado
107259098,reformado
103342470,reformado
103342470,reformado
107281449,reformado
107281449,reformado
105959560,reformado
107855315,no_reformado
107572699,no_reformado
107572699,no_reformado
103751715,reformado
106547520,reformado
106547520,reformado
107218383,no_reformado
107218383,no_reformado
107199232,reformado
107199232,reformado
98785232,no_reformado
98785232,no_reformado
107282567,no_reformado
107282567,no_reformado
107205989,reformado
107668321,no_reformado
107668321,no_reformado
107813864,no_reformado
106748316,reformado
106748316,reformado
102588935,no_reformado
102588935,no_reformado
106476948,no_reformado
105856678,no_reformado
106024804,no_reformado
106024804,no_reformado
107482825,reformado
107482825,reformado
107813145,no_reformado
107813145,no_reformado
107257596,reformado
107415956,no_reformado
107415956,no_reformado
107730731,reformado
107624975,reformado
107624975,reformado
107837417,reformado
107837417,reformado
102787971,reformado
102787971,reformado
107850476,reformado
105842381,reformado
107282868,reformado
103148614,no_reformado
107787378,reformado
107787378,reformado
464681,reformado
464681,reformado
107294537,no_reformado
91759517,reformado
91759517,reformado
106290275,no_reformado
106290275,no_reformado
107557217,reformado
107756368,reformado
107756368,reformado
106596970,reformado
106596970,reformado
107441045,no_reformado
107441045,no_reformado
107620148,reformado
107620148,reformado
103962213,no_reformado
103962213,no_reformado
106613693,no_reformado
106613693,no_reformado
107760156,reformado
107760156,reformado
107839392,no_reformado
107839392,no_reformado
107204804,reformado
107204804,reformado
107767638,reformado
107623019,reformado
107623019,reformado
101395168,no_reformado
101395168,no_reformado
107598396,no_reformado
107598396,no_reformado
107233276,no_reformado
107233276,no_reformado
107257360,no_reformado
107257360,no_reformado
107346428,no_reformado
106679297,no_reformado
106679297,no_reformado
104808966,no_reformado
104808966,no_reformado
107826624,reformado
107826624,reformado
104402146,no_reformado
106081215,no_reformado
107220128,no_reformado
107220128,no_reformado
107438940,no_reformado
107438940,no_reformado
106305666,no_reformado
106305666,no_reformado
106507832,reformado
